المحافظة,القطاع,رأس_المال_المطلوب_بالألف,مؤشر_المخاطرة,القرار_الاستثماري
الرقة,زراعة حديثة,53.0,0.58,استثمار متوسط
الحسكة,زراعة حديثة,23.2,0.47,مخاطرة عالية
القنيطرة,تجارة إلكترونية,11.0,0.65,مخاطرة عالية
القنيطرة,زراعة حديثة,103.2,0.43,فرصة واعدة
طرطوس,صناعة هندسية,669.4,0.42,فرصة واعدة
ريف دمشق,زراعة حديثة,81.9,0.44,فرصة واعدة
دير الزور,طاقة متجددة,590.8,0.67,فرصة واعدة
دمشق,تجارة إلكترونية,12.1,0.47,مخاطرة عالية
طرطوس,تجارة إلكترونية,44.2,0.6,فرصة واعدة
دير الزور,زراعة حديثة,121.3,0.19,فرصة واعدة
درعا,زراعة حديثة,136.8,0.64,فرصة واعدة
ريف دمشق,صناعة هندسية,287.4,0.25,مخاطرة عالية
اللاذقية,زراعة حديثة,45.9,0.18,استثمار متوسط
طرطوس,طاقة متجددة,441.6,0.17,فرصة واعدة
السويداء,خدمات تقنية,25.9,0.31,فرصة واعدة
دمشق,زراعة حديثة,87.9,0.37,فرصة واعدة
القنيطرة,زراعة حديثة,99.9,0.32,فرصة واعدة
اللاذقية,خدمات تقنية,15.3,0.68,فرصة واعدة
حمص,طاقة متجددة,479.0,0.62,فرصة واعدة
دمشق,طاقة متجددة,285.9,0.67,استثمار متوسط
حماة,تجارة إلكترونية,29.7,0.43,فرصة واعدة
ريف دمشق,تجارة إلكترونية,7.2,0.63,مخاطرة عالية
دير الزور,خدمات تقنية,23.3,0.44,فرصة واعدة
الحسكة,طاقة متجددة,492.1,0.22,فرصة واعدة
حمص,خدمات تقنية,10.3,0.23,استثمار متوسط
السويداء,تجارة إلكترونية,38.4,0.48,فرصة واعدة
السويداء,طاقة متجددة,114.4,0.53,مخاطرة عالية
حمص,خدمات تقنية,15.8,0.47,فرصة واعدة
ريف دمشق,تجارة إلكترونية,43.1,0.51,فرصة واعدة
الرقة,تجارة إلكترونية,11.4,0.34,استثمار متوسط
دمشق,تصنيع غذائي,209.7,0.64,فرصة واعدة
ريف دمشق,زراعة حديثة,126.1,0.14,فرصة واعدة
درعا,زراعة حديثة,132.8,0.6,فرصة واعدة
دير الزور,زراعة حديثة,72.1,0.56,فرصة واعدة
القنيطرة,طاقة متجددة,156.8,0.69,مخاطرة عالية
القنيطرة,صناعة هندسية,540.7,0.39,فرصة واعدة
ريف دمشق,طاقة متجددة,428.3,0.48,فرصة واعدة
دمشق,خدمات تقنية,5.0,0.43,مخاطرة عالية
الرقة,زراعة حديثة,78.3,0.51,فرصة واعدة
القنيطرة,تصنيع غذائي,230.4,0.13,فرصة واعدة
إدلب,تصنيع غذائي,47.3,0.27,استثمار متوسط
دير الزور,زراعة حديثة,94.5,0.41,فرصة واعدة
حلب,خدمات تقنية,25.3,0.12,فرصة واعدة
اللاذقية,صناعة هندسية,435.0,0.65,استثمار متوسط
طرطوس,طاقة متجددة,513.5,0.5,فرصة واعدة
السويداء,طاقة متجددة,317.2,0.61,فرصة واعدة
حلب,تجارة إلكترونية,28.4,0.42,فرصة واعدة
الرقة,خدمات تقنية,23.2,0.49,فرصة واعدة
ريف دمشق,تصنيع غذائي,92.4,0.46,استثمار متوسط
دمشق,زراعة حديثة,136.3,0.67,فرصة واعدة
دمشق,زراعة حديثة,105.7,0.11,فرصة واعدة
دير الزور,تجارة إلكترونية,33.4,0.51,فرصة واعدة
طرطوس,زراعة حديثة,95.4,0.33,فرصة واعدة
حمص,خدمات تقنية,15.9,0.5,فرصة واعدة
اللاذقية,صناعة هندسية,161.5,0.25,مخاطرة عالية
القنيطرة,صناعة هندسية,839.5,0.62,فرصة واعدة
القنيطرة,تصنيع غذائي,236.3,0.54,فرصة واعدة
الحسكة,تجارة إلكترونية,26.1,0.69,فرصة واعدة
الحسكة,زراعة حديثة,85.4,0.2,فرصة واعدة
الرقة,تجارة إلكترونية,18.3,0.29,فرصة واعدة
طرطوس,صناعة هندسية,922.9,0.45,فرصة واعدة
دمشق,خدمات تقنية,12.1,0.13,فرصة واعدة
اللاذقية,تجارة إلكترونية,19.3,0.28,فرصة واعدة
دمشق,خدمات تقنية,17.2,0.24,فرصة واعدة
حلب,زراعة حديثة,72.4,0.27,فرصة واعدة
اللاذقية,تصنيع غذائي,83.6,0.58,مخاطرة عالية
الرقة,خدمات تقنية,24.1,0.21,فرصة واعدة
طرطوس,صناعة هندسية,428.5,0.58,استثمار متوسط
القنيطرة,تجارة إلكترونية,20.7,0.22,فرصة واعدة
ريف دمشق,زراعة حديثة,20.4,0.68,مخاطرة عالية
الحسكة,صناعة هندسية,1043.6,0.53,فرصة واعدة
القنيطرة,زراعة حديثة,28.5,0.36,مخاطرة عالية
السويداء,تصنيع غذائي,295.3,0.3,فرصة واعدة
ريف دمشق,تجارة إلكترونية,44.8,0.27,فرصة واعدة
إدلب,طاقة متجددة,177.6,0.66,مخاطرة عالية
دير الزور,خدمات تقنية,4.8,0.18,مخاطرة عالية
حلب,صناعة هندسية,677.6,0.65,فرصة واعدة
الرقة,زراعة حديثة,80.7,0.17,فرصة واعدة
الحسكة,تصنيع غذائي,117.3,0.48,استثمار متوسط
الحسكة,تصنيع غذائي,136.6,0.34,فرصة واعدة
الحسكة,تجارة إلكترونية,31.3,0.25,فرصة واعدة
الرقة,طاقة متجددة,313.5,0.43,فرصة واعدة
حماة,طاقة متجددة,488.1,0.68,فرصة واعدة
الحسكة,صناعة هندسية,183.9,0.22,مخاطرة عالية
دير الزور,تجارة إلكترونية,35.9,0.29,فرصة واعدة
الحسكة,خدمات تقنية,15.9,0.56,فرصة واعدة
ريف دمشق,طاقة متجددة,475.6,0.48,فرصة واعدة
حماة,تصنيع غذائي,278.6,0.1,فرصة واعدة
اللاذقية,خدمات تقنية,26.4,0.4,فرصة واعدة
ريف دمشق,تصنيع غذائي,245.8,0.16,فرصة واعدة
دمشق,تجارة إلكترونية,27.3,0.22,فرصة واعدة
إدلب,صناعة هندسية,566.1,0.44,فرصة واعدة
دمشق,زراعة حديثة,131.7,0.15,فرصة واعدة
طرطوس,تصنيع غذائي,284.4,0.54,فرصة واعدة
الرقة,طاقة متجددة,149.1,0.65,مخاطرة عالية
دمشق,طاقة متجددة,528.8,0.34,فرصة واعدة
السويداء,خدمات تقنية,12.6,0.49,استثمار متوسط
القنيطرة,خدمات تقنية,12.6,0.66,استثمار متوسط
طرطوس,تجارة إلكترونية,37.8,0.38,فرصة واعدة
حمص,صناعة هندسية,420.7,0.11,فرصة واعدة
طرطوس,صناعة هندسية,885.2,0.3,فرصة واعدة
إدلب,تجارة إلكترونية,42.7,0.19,فرصة واعدة
السويداء,تصنيع غذائي,199.5,0.25,فرصة واعدة
حماة,صناعة هندسية,1143.3,0.63,فرصة واعدة
درعا,خدمات تقنية,21.1,0.36,فرصة واعدة
دمشق,صناعة هندسية,1007.7,0.14,فرصة واعدة
درعا,طاقة متجددة,397.6,0.26,فرصة واعدة
دمشق,تجارة إلكترونية,40.8,0.23,فرصة واعدة
طرطوس,تجارة إلكترونية,23.6,0.23,فرصة واعدة
دمشق,تصنيع غذائي,219.3,0.19,فرصة واعدة
حمص,صناعة هندسية,1155.7,0.63,فرصة واعدة
دمشق,تجارة إلكترونية,34.7,0.59,فرصة واعدة
حمص,طاقة متجددة,239.6,0.3,فرصة واعدة
دير الزور,زراعة حديثة,141.8,0.39,فرصة واعدة
إدلب,زراعة حديثة,59.0,0.66,استثمار متوسط
السويداء,طاقة متجددة,271.0,0.31,فرصة واعدة
دمشق,طاقة متجددة,97.8,0.48,مخاطرة عالية
طرطوس,تصنيع غذائي,236.8,0.67,فرصة واعدة
دمشق,تجارة إلكترونية,29.7,0.39,فرصة واعدة
السويداء,خدمات تقنية,19.8,0.3,فرصة واعدة
ريف دمشق,صناعة هندسية,453.3,0.32,استثمار متوسط
الحسكة,خدمات تقنية,15.8,0.13,فرصة واعدة
السويداء,طاقة متجددة,210.3,0.46,استثمار متوسط
القنيطرة,زراعة حديثة,113.9,0.38,فرصة واعدة
طرطوس,زراعة حديثة,79.4,0.17,فرصة واعدة
دير الزور,خدمات تقنية,24.0,0.24,فرصة واعدة
حمص,زراعة حديثة,44.4,0.62,استثمار متوسط
الرقة,طاقة متجددة,434.0,0.54,فرصة واعدة
القنيطرة,زراعة حديثة,72.6,0.38,فرصة واعدة
اللاذقية,زراعة حديثة,59.4,0.3,فرصة واعدة
درعا,طاقة متجددة,292.7,0.54,فرصة واعدة
الرقة,صناعة هندسية,707.4,0.61,فرصة واعدة
الحسكة,خدمات تقنية,10.1,0.26,استثمار متوسط
دمشق,خدمات تقنية,15.2,0.36,استثمار متوسط
الرقة,صناعة هندسية,483.7,0.19,فرصة واعدة
ريف دمشق,صناعة هندسية,846.0,0.21,فرصة واعدة
حمص,خدمات تقنية,25.1,0.48,فرصة واعدة
دمشق,زراعة حديثة,80.2,0.22,فرصة واعدة
دمشق,صناعة هندسية,205.1,0.13,مخاطرة عالية
القنيطرة,صناعة هندسية,1149.9,0.18,فرصة واعدة
دمشق,زراعة حديثة,42.4,0.37,استثمار متوسط
طرطوس,تصنيع غذائي,294.2,0.63,فرصة واعدة
السويداء,زراعة حديثة,38.0,0.6,مخاطرة عالية
حلب,خدمات تقنية,5.7,0.35,مخاطرة عالية
درعا,طاقة متجددة,373.3,0.16,فرصة واعدة
دير الزور,زراعة حديثة,91.4,0.68,فرصة واعدة
طرطوس,خدمات تقنية,29.0,0.14,فرصة واعدة
حماة,زراعة حديثة,40.7,0.37,مخاطرة عالية
السويداء,تجارة إلكترونية,40.4,0.36,فرصة واعدة
حلب,صناعة هندسية,674.0,0.39,فرصة واعدة
الرقة,خدمات تقنية,24.8,0.7,فرصة واعدة
درعا,طاقة متجددة,497.4,0.38,فرصة واعدة
إدلب,صناعة هندسية,907.6,0.44,فرصة واعدة
الرقة,خدمات تقنية,25.5,0.49,فرصة واعدة
طرطوس,صناعة هندسية,939.9,0.35,فرصة واعدة
حمص,طاقة متجددة,360.9,0.35,فرصة واعدة
السويداء,صناعة هندسية,741.5,0.33,فرصة واعدة
السويداء,طاقة متجددة,453.6,0.63,فرصة واعدة
إدلب,تجارة إلكترونية,21.4,0.59,فرصة واعدة
طرطوس,زراعة حديثة,131.8,0.25,فرصة واعدة
حمص,خدمات تقنية,22.8,0.17,فرصة واعدة
حمص,تصنيع غذائي,77.0,0.11,استثمار متوسط
دمشق,خدمات تقنية,17.0,0.44,استثمار متوسط
ريف دمشق,تصنيع غذائي,148.0,0.14,فرصة واعدة
حلب,صناعة هندسية,723.7,0.42,فرصة واعدة
ريف دمشق,صناعة هندسية,697.8,0.26,فرصة واعدة
القنيطرة,تجارة إلكترونية,27.0,0.27,فرصة واعدة
دمشق,تصنيع غذائي,131.5,0.25,استثمار متوسط
طرطوس,تجارة إلكترونية,12.3,0.32,استثمار متوسط
ريف دمشق,طاقة متجددة,505.5,0.11,فرصة واعدة
إدلب,صناعة هندسية,1108.4,0.65,فرصة واعدة
القنيطرة,زراعة حديثة,64.9,0.51,فرصة واعدة
إدلب,طاقة متجددة,128.2,0.23,مخاطرة عالية
حمص,خدمات تقنية,13.8,0.67,فرصة واعدة
اللاذقية,صناعة هندسية,1133.0,0.6,فرصة واعدة
القنيطرة,تجارة إلكترونية,10.1,0.19,استثمار متوسط
إدلب,تصنيع غذائي,92.8,0.49,استثمار متوسط
اللاذقية,صناعة هندسية,253.8,0.62,مخاطرة عالية
دير الزور,طاقة متجددة,235.1,0.48,استثمار متوسط
درعا,زراعة حديثة,25.8,0.53,مخاطرة عالية
الحسكة,خدمات تقنية,16.5,0.33,فرصة واعدة
دمشق,تصنيع غذائي,207.2,0.17,فرصة واعدة
ريف دمشق,تجارة إلكترونية,34.8,0.46,فرصة واعدة
حلب,طاقة متجددة,483.0,0.7,فرصة واعدة
دمشق,خدمات تقنية,7.6,0.55,مخاطرة عالية
درعا,خدمات تقنية,16.1,0.31,فرصة واعدة
إدلب,صناعة هندسية,737.9,0.18,فرصة واعدة
الحسكة,تصنيع غذائي,164.8,0.69,فرصة واعدة
اللاذقية,زراعة حديثة,63.7,0.28,فرصة واعدة
إدلب,صناعة هندسية,998.9,0.19,فرصة واعدة
ريف دمشق,تصنيع غذائي,258.0,0.31,فرصة واعدة
الحسكة,تجارة إلكترونية,30.4,0.26,فرصة واعدة
دمشق,صناعة هندسية,733.2,0.41,فرصة واعدة
درعا,خدمات تقنية,20.7,0.41,فرصة واعدة
دمشق,صناعة هندسية,402.0,0.27,استثمار متوسط
حمص,تصنيع غذائي,48.8,0.36,مخاطرة عالية
دير الزور,طاقة متجددة,377.7,0.68,فرصة واعدة
الحسكة,خدمات تقنية,5.7,0.34,مخاطرة عالية
حلب,تجارة إلكترونية,20.6,0.26,استثمار متوسط
دمشق,خدمات تقنية,8.5,0.68,مخاطرة عالية
الحسكة,صناعة هندسية,785.1,0.56,فرصة واعدة
الحسكة,صناعة هندسية,711.7,0.47,فرصة واعدة
طرطوس,تصنيع غذائي,94.4,0.31,استثمار متوسط
إدلب,تجارة إلكترونية,29.5,0.21,فرصة واعدة
اللاذقية,تجارة إلكترونية,30.5,0.43,فرصة واعدة
الرقة,صناعة هندسية,1092.9,0.27,فرصة واعدة
دمشق,طاقة متجددة,438.8,0.26,فرصة واعدة
الرقة,صناعة هندسية,548.9,0.23,فرصة واعدة
الرقة,صناعة هندسية,1133.3,0.58,فرصة واعدة
الحسكة,تجارة إلكترونية,20.6,0.16,فرصة واعدة
إدلب,تجارة إلكترونية,15.2,0.61,استثمار متوسط
حلب,زراعة حديثة,64.4,0.52,مخاطرة عالية
الحسكة,صناعة هندسية,1007.7,0.56,فرصة واعدة
طرطوس,خدمات تقنية,23.0,0.56,فرصة واعدة
حلب,صناعة هندسية,369.3,0.15,استثمار متوسط
درعا,طاقة متجددة,171.5,0.61,مخاطرة عالية
حلب,خدمات تقنية,14.9,0.25,فرصة واعدة
حماة,طاقة متجددة,480.3,0.62,فرصة واعدة
ريف دمشق,طاقة متجددة,219.9,0.38,فرصة واعدة
القنيطرة,تجارة إلكترونية,44.6,0.33,فرصة واعدة
دير الزور,تجارة إلكترونية,20.4,0.37,فرصة واعدة
القنيطرة,خدمات تقنية,9.4,0.54,استثمار متوسط
حماة,تجارة إلكترونية,6.4,0.29,مخاطرة عالية
حماة,خدمات تقنية,9.3,0.33,استثمار متوسط
الرقة,تصنيع غذائي,90.6,0.68,استثمار متوسط
ريف دمشق,تصنيع غذائي,131.0,0.46,فرصة واعدة
الرقة,خدمات تقنية,16.8,0.64,فرصة واعدة
الحسكة,طاقة متجددة,507.1,0.52,فرصة واعدة
دير الزور,خدمات تقنية,5.6,0.61,مخاطرة عالية
إدلب,طاقة متجددة,372.2,0.65,فرصة واعدة
اللاذقية,زراعة حديثة,54.6,0.38,استثمار متوسط
اللاذقية,تصنيع غذائي,139.8,0.67,فرصة واعدة
حماة,طاقة متجددة,274.3,0.32,فرصة واعدة
حماة,خدمات تقنية,10.6,0.6,استثمار متوسط
طرطوس,تصنيع غذائي,103.8,0.6,استثمار متوسط
اللاذقية,صناعة هندسية,325.4,0.55,استثمار متوسط
السويداء,تصنيع غذائي,79.3,0.56,استثمار متوسط
دير الزور,طاقة متجددة,412.6,0.17,فرصة واعدة
الرقة,صناعة هندسية,579.8,0.55,فرصة واعدة
حمص,تجارة إلكترونية,37.5,0.35,فرصة واعدة
ريف دمشق,صناعة هندسية,420.4,0.58,استثمار متوسط
اللاذقية,زراعة حديثة,149.0,0.54,فرصة واعدة
طرطوس,تصنيع غذائي,264.0,0.16,فرصة واعدة
القنيطرة,صناعة هندسية,1051.4,0.33,فرصة واعدة
حماة,طاقة متجددة,414.8,0.49,فرصة واعدة
درعا,تصنيع غذائي,113.0,0.53,استثمار متوسط
درعا,زراعة حديثة,87.1,0.13,فرصة واعدة
اللاذقية,خدمات تقنية,20.7,0.59,فرصة واعدة
حماة,صناعة هندسية,252.9,0.22,استثمار متوسط
درعا,تجارة إلكترونية,43.1,0.48,فرصة واعدة
اللاذقية,تجارة إلكترونية,21.2,0.35,فرصة واعدة
حمص,صناعة هندسية,678.2,0.5,فرصة واعدة
القنيطرة,خدمات تقنية,14.6,0.5,فرصة واعدة
ريف دمشق,صناعة هندسية,579.9,0.33,فرصة واعدة
دمشق,زراعة حديثة,120.5,0.45,فرصة واعدة
حمص,تصنيع غذائي,58.6,0.1,مخاطرة عالية
اللاذقية,تجارة إلكترونية,18.5,0.47,استثمار متوسط
درعا,تجارة إلكترونية,29.2,0.38,فرصة واعدة
حماة,خدمات تقنية,10.8,0.23,فرصة واعدة
اللاذقية,صناعة هندسية,597.9,0.11,فرصة واعدة
الرقة,طاقة متجددة,260.7,0.29,فرصة واعدة
السويداء,تصنيع غذائي,276.8,0.51,فرصة واعدة
درعا,تجارة إلكترونية,37.9,0.25,فرصة واعدة
الرقة,خدمات تقنية,11.0,0.66,استثمار متوسط
حمص,خدمات تقنية,11.7,0.15,فرصة واعدة
السويداء,زراعة حديثة,67.0,0.59,استثمار متوسط
ريف دمشق,صناعة هندسية,209.9,0.59,مخاطرة عالية
حلب,طاقة متجددة,292.0,0.41,استثمار متوسط
اللاذقية,تصنيع غذائي,92.2,0.46,مخاطرة عالية
اللاذقية,زراعة حديثة,125.1,0.13,فرصة واعدة
السويداء,خدمات تقنية,26.4,0.35,فرصة واعدة
ريف دمشق,خدمات تقنية,15.5,0.62,فرصة واعدة
السويداء,زراعة حديثة,142.9,0.69,فرصة واعدة
اللاذقية,طاقة متجددة,87.4,0.19,مخاطرة عالية
حمص,زراعة حديثة,22.5,0.43,مخاطرة عالية
حماة,تصنيع غذائي,174.1,0.51,فرصة واعدة
ريف دمشق,خدمات تقنية,9.5,0.46,مخاطرة عالية
حمص,طاقة متجددة,464.6,0.41,فرصة واعدة
دير الزور,صناعة هندسية,1111.6,0.11,فرصة واعدة
ريف دمشق,صناعة هندسية,840.7,0.2,فرصة واعدة
دمشق,تجارة إلكترونية,24.8,0.17,فرصة واعدة
القنيطرة,تصنيع غذائي,205.4,0.11,فرصة واعدة
دير الزور,طاقة متجددة,475.0,0.33,فرصة واعدة
الرقة,زراعة حديثة,78.0,0.45,فرصة واعدة
حمص,تصنيع غذائي,217.6,0.6,فرصة واعدة
القنيطرة,تجارة إلكترونية,16.0,0.49,استثمار متوسط
طرطوس,تصنيع غذائي,118.1,0.13,فرصة واعدة
اللاذقية,خدمات تقنية,5.9,0.24,مخاطرة عالية
طرطوس,طاقة متجددة,595.7,0.57,فرصة واعدة
القنيطرة,صناعة هندسية,347.0,0.68,استثمار متوسط
إدلب,تجارة إلكترونية,18.6,0.37,استثمار متوسط
اللاذقية,تصنيع غذائي,53.8,0.51,مخاطرة عالية
ريف دمشق,طاقة متجددة,134.4,0.29,استثمار متوسط
حلب,صناعة هندسية,591.7,0.53,استثمار متوسط
حلب,طاقة متجددة,512.6,0.23,فرصة واعدة
السويداء,خدمات تقنية,6.0,0.44,مخاطرة عالية
ريف دمشق,خدمات تقنية,23.4,0.14,فرصة واعدة
حمص,تصنيع غذائي,251.7,0.65,فرصة واعدة
دمشق,طاقة متجددة,127.3,0.39,مخاطرة عالية
إدلب,صناعة هندسية,586.0,0.35,فرصة واعدة
السويداء,خدمات تقنية,13.7,0.22,فرصة واعدة
السويداء,زراعة حديثة,48.8,0.51,استثمار متوسط
اللاذقية,تصنيع غذائي,142.8,0.32,فرصة واعدة
حمص,صناعة هندسية,888.2,0.48,فرصة واعدة
إدلب,زراعة حديثة,112.0,0.58,فرصة واعدة
الرقة,تجارة إلكترونية,36.2,0.55,فرصة واعدة
السويداء,تصنيع غذائي,270.2,0.52,فرصة واعدة
الحسكة,تصنيع غذائي,120.1,0.35,فرصة واعدة
دير الزور,صناعة هندسية,854.7,0.38,فرصة واعدة
درعا,خدمات تقنية,11.2,0.26,فرصة واعدة
ريف دمشق,تجارة إلكترونية,24.8,0.21,فرصة واعدة
دير الزور,زراعة حديثة,23.1,0.49,مخاطرة عالية
دير الزور,تصنيع غذائي,241.9,0.35,فرصة واعدة
إدلب,تجارة إلكترونية,9.8,0.51,مخاطرة عالية
الرقة,صناعة هندسية,976.6,0.13,فرصة واعدة
اللاذقية,خدمات تقنية,17.0,0.34,فرصة واعدة
دمشق,صناعة هندسية,1161.3,0.38,فرصة واعدة
درعا,خدمات تقنية,7.6,0.12,استثمار متوسط
حمص,صناعة هندسية,408.7,0.66,استثمار متوسط
إدلب,طاقة متجددة,88.7,0.24,مخاطرة عالية
الرقة,خدمات تقنية,29.5,0.7,فرصة واعدة
درعا,صناعة هندسية,660.1,0.5,فرصة واعدة
طرطوس,تجارة إلكترونية,15.0,0.4,استثمار متوسط
إدلب,تجارة إلكترونية,35.8,0.64,فرصة واعدة
دير الزور,صناعة هندسية,1122.1,0.48,فرصة واعدة
حماة,خدمات تقنية,23.8,0.3,فرصة واعدة
اللاذقية,تجارة إلكترونية,17.1,0.56,استثمار متوسط
حمص,زراعة حديثة,40.8,0.18,استثمار متوسط
حماة,صناعة هندسية,1140.7,0.34,فرصة واعدة
الحسكة,خدمات تقنية,18.9,0.31,فرصة واعدة
اللاذقية,زراعة حديثة,38.7,0.25,استثمار متوسط
إدلب,تصنيع غذائي,51.8,0.54,مخاطرة عالية
الرقة,صناعة هندسية,1163.3,0.17,فرصة واعدة
الحسكة,طاقة متجددة,439.3,0.56,فرصة واعدة
القنيطرة,زراعة حديثة,39.9,0.69,مخاطرة عالية
الحسكة,خدمات تقنية,20.1,0.23,فرصة واعدة
القنيطرة,صناعة هندسية,824.5,0.54,فرصة واعدة
القنيطرة,تصنيع غذائي,81.4,0.62,مخاطرة عالية
حماة,طاقة متجددة,592.4,0.17,فرصة واعدة
دمشق,طاقة متجددة,327.6,0.36,فرصة واعدة
حلب,تجارة إلكترونية,16.6,0.14,فرصة واعدة
طرطوس,طاقة متجددة,548.3,0.55,فرصة واعدة
دير الزور,صناعة هندسية,285.0,0.65,مخاطرة عالية
الحسكة,تجارة إلكترونية,43.1,0.37,فرصة واعدة
درعا,طاقة متجددة,426.4,0.62,فرصة واعدة
ريف دمشق,صناعة هندسية,502.8,0.13,فرصة واعدة
حماة,زراعة حديثة,104.4,0.61,فرصة واعدة
الحسكة,تجارة إلكترونية,7.0,0.5,مخاطرة عالية
الحسكة,صناعة هندسية,556.2,0.68,فرصة واعدة
اللاذقية,زراعة حديثة,120.2,0.67,فرصة واعدة
حماة,خدمات تقنية,23.8,0.15,فرصة واعدة
الرقة,تجارة إلكترونية,29.4,0.6,فرصة واعدة
دير الزور,زراعة حديثة,61.7,0.6,استثمار متوسط
ريف دمشق,صناعة هندسية,197.9,0.43,مخاطرة عالية
السويداء,طاقة متجددة,585.8,0.38,فرصة واعدة
الحسكة,طاقة متجددة,199.0,0.11,استثمار متوسط
إدلب,صناعة هندسية,682.3,0.23,فرصة واعدة
الحسكة,صناعة هندسية,759.7,0.36,فرصة واعدة
حلب,خدمات تقنية,26.8,0.2,فرصة واعدة
الرقة,صناعة هندسية,368.9,0.61,مخاطرة عالية
حماة,صناعة هندسية,1187.5,0.59,فرصة واعدة
دير الزور,زراعة حديثة,121.2,0.51,فرصة واعدة
ريف دمشق,خدمات تقنية,12.3,0.65,استثمار متوسط
حمص,زراعة حديثة,28.7,0.67,مخاطرة عالية
حلب,صناعة هندسية,248.1,0.23,استثمار متوسط
درعا,زراعة حديثة,127.1,0.66,فرصة واعدة
الرقة,زراعة حديثة,104.4,0.53,فرصة واعدة
حلب,تصنيع غذائي,144.1,0.62,استثمار متوسط
القنيطرة,خدمات تقنية,23.1,0.53,فرصة واعدة
ريف دمشق,تصنيع غذائي,270.2,0.33,فرصة واعدة
السويداء,صناعة هندسية,405.5,0.46,استثمار متوسط
درعا,صناعة هندسية,243.3,0.63,مخاطرة عالية
درعا,خدمات تقنية,22.9,0.28,فرصة واعدة
دير الزور,طاقة متجددة,533.9,0.69,فرصة واعدة
حماة,زراعة حديثة,73.8,0.28,فرصة واعدة
إدلب,طاقة متجددة,521.9,0.22,فرصة واعدة
اللاذقية,طاقة متجددة,556.1,0.69,فرصة واعدة
ريف دمشق,صناعة هندسية,215.6,0.64,مخاطرة عالية
حلب,صناعة هندسية,420.8,0.51,مخاطرة عالية
حمص,زراعة حديثة,111.5,0.15,فرصة واعدة
إدلب,تجارة إلكترونية,10.8,0.66,مخاطرة عالية
إدلب,صناعة هندسية,1054.6,0.25,فرصة واعدة
دير الزور,زراعة حديثة,91.5,0.26,فرصة واعدة
إدلب,صناعة هندسية,289.1,0.56,مخاطرة عالية
ريف دمشق,طاقة متجددة,242.4,0.59,فرصة واعدة
دمشق,طاقة متجددة,152.9,0.29,استثمار متوسط
حماة,خدمات تقنية,20.2,0.64,فرصة واعدة
حمص,طاقة متجددة,91.1,0.68,مخاطرة عالية
اللاذقية,خدمات تقنية,25.7,0.43,فرصة واعدة
إدلب,خدمات تقنية,23.1,0.37,فرصة واعدة
دير الزور,تجارة إلكترونية,21.9,0.29,فرصة واعدة
الرقة,صناعة هندسية,580.6,0.1,فرصة واعدة
دير الزور,طاقة متجددة,252.0,0.11,فرصة واعدة
حمص,خدمات تقنية,7.5,0.39,مخاطرة عالية
دمشق,صناعة هندسية,748.7,0.68,استثمار متوسط
دمشق,تجارة إلكترونية,33.6,0.35,فرصة واعدة
طرطوس,صناعة هندسية,989.6,0.36,فرصة واعدة
الرقة,تصنيع غذائي,100.2,0.34,استثمار متوسط
السويداء,خدمات تقنية,19.5,0.35,فرصة واعدة
الحسكة,تصنيع غذائي,183.8,0.6,فرصة واعدة
الحسكة,صناعة هندسية,969.5,0.68,فرصة واعدة
الرقة,طاقة متجددة,570.6,0.6,فرصة واعدة
طرطوس,تجارة إلكترونية,9.7,0.57,مخاطرة عالية
اللاذقية,تجارة إلكترونية,11.9,0.61,مخاطرة عالية
طرطوس,زراعة حديثة,21.8,0.39,مخاطرة عالية
دير الزور,زراعة حديثة,80.0,0.42,فرصة واعدة
إدلب,تصنيع غذائي,188.8,0.64,فرصة واعدة
حمص,تصنيع غذائي,161.9,0.17,فرصة واعدة
القنيطرة,تجارة إلكترونية,27.9,0.19,فرصة واعدة
دمشق,طاقة متجددة,209.5,0.51,مخاطرة عالية
حماة,زراعة حديثة,22.5,0.69,مخاطرة عالية
الرقة,صناعة هندسية,995.2,0.22,فرصة واعدة
السويداء,تصنيع غذائي,49.8,0.66,مخاطرة عالية
ريف دمشق,صناعة هندسية,1118.6,0.55,فرصة واعدة
السويداء,تجارة إلكترونية,36.0,0.39,فرصة واعدة
ريف دمشق,زراعة حديثة,63.6,0.65,استثمار متوسط
دمشق,طاقة متجددة,519.5,0.37,فرصة واعدة
اللاذقية,تصنيع غذائي,142.3,0.26,فرصة واعدة
اللاذقية,تصنيع غذائي,209.5,0.31,فرصة واعدة
درعا,زراعة حديثة,118.2,0.25,فرصة واعدة
اللاذقية,خدمات تقنية,22.7,0.15,فرصة واعدة
اللاذقية,زراعة حديثة,70.4,0.45,فرصة واعدة
الرقة,صناعة هندسية,418.1,0.7,مخاطرة عالية
الحسكة,خدمات تقنية,7.2,0.11,استثمار متوسط
حماة,زراعة حديثة,26.8,0.12,استثمار متوسط
طرطوس,تجارة إلكترونية,29.8,0.3,فرصة واعدة
القنيطرة,زراعة حديثة,24.6,0.64,مخاطرة عالية
درعا,طاقة متجددة,593.8,0.45,فرصة واعدة
حمص,خدمات تقنية,21.1,0.69,فرصة واعدة
الرقة,طاقة متجددة,315.7,0.65,فرصة واعدة
حمص,تجارة إلكترونية,14.8,0.31,استثمار متوسط
إدلب,طاقة متجددة,179.8,0.34,استثمار متوسط
القنيطرة,تجارة إلكترونية,26.2,0.37,فرصة واعدة
